(6604, datetime.datetime(2022, 11, 14, 10, 43, 15), 59, '0', '0', 399.0, 327.0, 325.0, 35.0, 1.0, 'ok')
(6605, datetime.datetime(2022, 11, 14, 10, 43, 17), 59, '0', '0', 398.0, 326.0, 325.0, 37.0, 1.0, 'ok')
(6607, datetime.datetime(2022, 11, 14, 10, 43, 22), 59, '0', '0', 400.0, 326.0, 328.0, 42.0, 1.0, 'ok')
(6608, datetime.datetime(2022, 11, 14, 10, 43, 24), 59, '0', '0', 400.0, 326.0, 328.0, 42.0, 1.0, 'ok')
(6609, datetime.datetime(2022, 11, 14, 10, 43, 26), 59, '0', '0', 399.0, 326.0, 324.0, 43.0, 1.0, 'ok')
(6610, datetime.datetime(2022, 11, 14, 10, 43, 28), 59, '0', '0', 399.0, 328.0, 330.0, 45.0, 1.0, 'ok')
(6611, datetime.datetime(2022, 11, 14, 10, 43, 31), 59, '0', '0', 399.0, 327.0, 328.0, 47.0, 1.0, 'ok')
(6614, datetime.datetime(2022, 11, 14, 10, 43, 37), 59, '0', '0', 399.0, 328.0, 326.0, 51.0, 1.0, 'ok')
(6615, datetime.datetime(2022, 11, 14, 10, 43, 40), 59, '0', '0', 399.0, 327.0, 327.0, 52.0, 1.0, 'ok')
(6616, datetime.datetime(2022, 11, 14, 10, 43, 42), 59, '0', '0', 399.0, 327.0, 327.0, 52.0, 1.0, 'ok')
(6619, datetime.datetime(2022, 11, 14, 10, 43, 48), 59, '0', '0', 398.0, 328.0, 325.0, 57.0, 1.0, 'ok')
(6620, datetime.datetime(2022, 11, 14, 10, 43, 51), 59, '0', '0', 398.0, 327.0, 326.0, 59.0, 1.0, 'ok')
(6621, datetime.datetime(2022, 11, 14, 10, 43, 53), 59, '0', '0', 393.0, 328.0, 320.0, 61.0, 1.0, 'ok')
(6622, datetime.datetime(2022, 11, 14, 10, 43, 55), 59, '0', '0', 399.0, 327.0, 326.0, 63.0, 1.0, 'ok')
(6623, datetime.datetime(2022, 11, 14, 10, 43, 57), 59, '0', '0', 399.0, 327.0, 326.0, 65.0, 1.0, 'ok')
(6624, datetime.datetime(2022, 11, 14, 10, 44), 59, '0', '0', 399.0, 327.0, 325.0, 67.0, 1.0, 'ok')
(6625, datetime.datetime(2022, 11, 14, 10, 44, 2), 59, '0', '0', 399.0, 327.0, 326.0, 69.0, 1.0, 'ok')
(6626, datetime.datetime(2022, 11, 14, 10, 44, 4), 59, '0', '0', 399.0, 327.0, 325.0, 71.0, 1.0, 'ok')
(6627, datetime.datetime(2022, 11, 14, 10, 44, 7), 59, '0', '0', 399.0, 327.0, 326.0, 73.0, 1.0, 'ok')
(6628, datetime.datetime(2022, 11, 14, 10, 44, 9), 59, '0', '0', 399.0, 326.0, 325.0, 75.0, 1.0, 'ok')
(6629, datetime.datetime(2022, 11, 14, 10, 44, 11), 59, '0', '0', 399.0, 327.0, 325.0, 77.0, 1.0, 'ok')
(6658, datetime.datetime(2022, 11, 14, 10, 45, 37), 59, '0', '0', 398.0, 328.0, 327.0, 79.0, 1.0, 'ok')
(6659, datetime.datetime(2022, 11, 14, 10, 45, 39), 59, '0', '0', 399.0, 326.0, 330.0, 0.0, 1.0, 'ok')
(6660, datetime.datetime(2022, 11, 14, 10, 45, 41), 59, '0', '0', 399.0, 327.0, 327.0, 1.0, 1.0, 'ok')
(6661, datetime.datetime(2022, 11, 14, 10, 45, 43), 59, '0', '0', 399.0, 327.0, 326.0, 2.0, 1.0, 'ok')
(6662, datetime.datetime(2022, 11, 14, 10, 45, 45), 59, '0', '0', 399.0, 326.0, 326.0, 3.0, 1.0, 'ok')
(6663, datetime.datetime(2022, 11, 14, 10, 45, 47), 59, '0', '0', 399.0, 328.0, 327.0, 4.0, 1.0, 'ok')
(6664, datetime.datetime(2022, 11, 14, 10, 45, 49), 59, '0', '0', 399.0, 327.0, 329.0, 5.0, 1.0, 'ok')
(6665, datetime.datetime(2022, 11, 14, 10, 45, 51), 59, '0', '0', 399.0, 328.0, 327.0, 6.0, 1.0, 'ok')
(6666, datetime.datetime(2022, 11, 14, 10, 45, 52), 59, '0', '0', 398.0, 327.0, 327.0, 7.0, 1.0, 'ok')
(6669, datetime.datetime(2022, 11, 14, 10, 45, 58), 59, '0', '0', 397.0, 328.0, 317.0, 11.0, 1.0, 'ok')
(6670, datetime.datetime(2022, 11, 14, 10, 46), 59, '0', '0', 394.0, 328.0, 308.0, 12.0, 1.0, 'ok')
(6671, datetime.datetime(2022, 11, 14, 10, 46, 2), 59, '0', '0', 394.0, 327.0, 308.0, 13.0, 1.0, 'ok')
(6672, datetime.datetime(2022, 11, 14, 10, 46, 4), 59, '0', '0', 398.0, 327.0, 345.0, 15.0, 1.0, 'ok')
(6673, datetime.datetime(2022, 11, 14, 10, 46, 6), 59, '0', '0', 399.0, 327.0, 338.0, 16.0, 1.0, 'ok')
(6674, datetime.datetime(2022, 11, 14, 10, 46, 8), 59, '0', '0', 399.0, 327.0, 338.0, 18.0, 1.0, 'ok')
(6675, datetime.datetime(2022, 11, 14, 10, 46, 11), 59, '0', '0', 399.0, 327.0, 336.0, 20.0, 1.0, 'ok')
(6676, datetime.datetime(2022, 11, 14, 10, 46, 13), 59, '0', '0', 399.0, 327.0, 336.0, 21.0, 1.0, 'ok')
(6677, datetime.datetime(2022, 11, 14, 10, 46, 15), 59, '0', '0', 400.0, 327.0, 334.0, 23.0, 1.0, 'ok')
